category,datetime,headline,id,image,related,source,summary,url,date
company,1715591279,Tencent Music beats Q1 revenue estimates on strong rise in paid subscriptions,127666529,https://media.zenfs.com/en/reuters-finance.com/fe52cbc20359bb173456569edaa317fe,SPOT,Yahoo,"(Reuters) -China's Tencent Music Entertainment Group beat first-quarter revenue estimates on Monday, helped by strong growth in paid subscriptions and advertising services on its Spotify-like music streaming platform.  Tencent Music's shares rose over 8% in morning trade in New York after the company said the number of its paying users rose 20.2% to 113.5 million from a year earlier，marking a record quarterly growth for this metric.  This marks the third straight quarter that Tencent Music has suffered a revenue decline.",https://finnhub.io/api/news?id=684b72087480daee9aceb7bd78ee07941c1322ab160931aa900fd805c1c5dcdc,2024-05-13
company,1715484360,"What's New In Consumer Tech World Last Week? News That You Should Know (May 5-May 11, 2024)",127650184,,SPOT,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2a452979fe9ae1f696a67c383e3568bf2034fdaec33aa6f1dbda5f00b43b5256,2024-05-12
company,1715400600,Baron Partners Fund Q1 2024 Shareholder Letter,127631408,https://media.gettyimages.com/id/2150647144/photo/financial-chart-with-up-trend-line-graph-wealth-management-with-risk-diversification.jpg?b=1&s=170667a&w=0&k=20&c=4qRrfiupTSoIxgJ81U8ccvyJ7hwKOPhXxwZx-7mZ6-0=,SPOT,SeekingAlpha,Baron Partners Fund declined 9.01% (Inst.) trailing both the Russell Midcap Growth Index and the large cap S&P 500 Index. Click here to read the full letter.,https://finnhub.io/api/news?id=8fe336744fb03fba87710fa7f9b9e3450f1a7a846f6cc897b3d720fd214d3414,2024-05-11
company,1715361000,Comstock Announces Topping Out of JW Marriott Hotel and Residences,127619014,,SPOT,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=382cedaa80b6b7014d97a4bc6ec8cd66325ccab85300aabf5d3ea35d3a6ae5af,2024-05-10
company,1715346017,Is Trending Stock Spotify Technology (SPOT) a Buy Now?,127614400,https://media.zenfs.com/en/zacks.com/737ffb82e07dc8bffb77e72d153c91f2,SPOT,Yahoo,"Spotify (SPOT) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",https://finnhub.io/api/news?id=715ac61e7eff33c55f84dd4bf5366e356dd8639bc22e80571720fbb1fb295ee0,2024-05-10
company,1715342320,Spotify’s podcast chief exits as the streamer pivots from its $1 billion bet on exclusivity deals with the likes of Joe Rogan and Alex Cooper,127614401,https://s.yimg.com/ny/api/res/1.2/xrT1XTa.2Yb_cRqpO0IlUA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/fortune_175/a8402a48dd4cf446548d4ee564895456,SPOT,Yahoo,"Julie McNamara has reportedly left the streaming giant to get back to her ""creative roots"" after Spotify pivoted its podcast strategy.",https://finnhub.io/api/news?id=7fde99964c3b8404e18acfa913684ca9a02ec8963aa2440d1249c0734cdbdc93,2024-05-10
company,1715324520,Baillie Gifford's Strategic Adjustment in Shopify Holdings,127604453,,SPOT,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e142cf344305106d0dfbd4d38d0a8ab968e381dc7869780dbd9697b72849be34,2024-05-10
company,1715324520,Baillie Gifford Increases Stake in Symbotic Inc,127604451,,SPOT,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f92b88d85fb9b51d15eba664587d91f45967f497a2ee560c7866770b86487bd6,2024-05-10
company,1715286600,3 Overhyped Stocks to Sell in May Before They Crash & Burn,127725304,https://media.zenfs.com/en/investorplace_417/d07c1974cb097712532c6af65c68a30f,SPOT,Yahoo,"The stock market has been on an amazing run. In particular, growth and technology stocks have surged over the past year. With the market in general rising strongly, there have been all sorts of companies that have delivered outsized gains and sparked overwhelming investor enthusiasm. Thanks to the prominence of momentum investing strategies, oftentimes stocks that are already surging tend to keep going higher as traders follow the trend and cash in. However, there is real risk buried within thes",https://finnhub.io/api/news?id=9a74cc761b6089917280a495fcf6b3b75bd99ab75496fb0cc522f0a30ec085a9,2024-05-09
company,1715253487,"12 Artists, 6 Countries, Endless Talent: Meet the RADAR Latin America Class of 2024",127571106,,SPOT,Finnhub,"From reggaetonto Música Mexicana, Latin artists are reshaping the rhythm of global music. Recent years have seen the emergence of groundbreaking talent from cultural hot spots like Mexico, Colombia,...",https://finnhub.io/api/news?id=c2d530ac897b059a7364702229b756547ff260715cc9ec8291a7f7ea848a728d,2024-05-09
