open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
331.26,331.92,319.07,322.77,1162291.0,331.92,319.07,322.77,331.26,1162291.0,1.0,0.0,SPOT,XNYS,2024-09-06
323.38,329.6,322.62,328.63,1541473.0,329.6,322.62,328.63,323.38,1542578.0,1.0,0.0,SPOT,XNYS,2024-09-05
327.8,336.38,327.07,329.25,825875.0,336.38,327.07,329.25,327.8,825533.0,1.0,0.0,SPOT,XNYS,2024-09-04
340.05,342.4,326.095,328.6,1632775.0,342.4,326.095,328.6,340.05,1632775.0,1.0,0.0,SPOT,XNYS,2024-09-03
341.17,343.505,337.47,342.88,1077146.0,343.505,337.47,342.88,341.17,1077146.0,1.0,0.0,SPOT,XNYS,2024-08-30
338.8,344.5,338.8,340.73,1453065.0,344.5,338.8,340.73,338.8,1453065.0,1.0,0.0,SPOT,XNYS,2024-08-29
338.31,339.54,334.09,337.56,976896.0,339.54,334.09,337.56,338.31,976896.0,1.0,0.0,SPOT,XNYS,2024-08-28
333.51,343.26,333.0,339.47,1412934.0,343.26,333.0,339.47,333.51,1412934.0,1.0,0.0,SPOT,XNYS,2024-08-27
342.5,343.81,333.61,336.07,1184596.0,343.81,333.61,336.07,342.5,1184596.0,1.0,0.0,SPOT,XNYS,2024-08-26
342.41,347.9796,340.1759,342.49,1490342.0,347.9796,340.1759,342.49,342.41,1490342.0,1.0,0.0,SPOT,XNYS,2024-08-23
345.01,350.32,340.52,342.2,1706719.0,350.32,340.52,342.2,345.01,1706719.0,1.0,0.0,SPOT,XNYS,2024-08-22
345.16,347.86,343.305,343.69,1756369.0,347.86,343.305,343.69,345.16,1756369.0,1.0,0.0,SPOT,XNYS,2024-08-21
346.55,348.8499,342.745,346.28,1557049.0,348.8499,342.745,346.28,346.55,1557049.0,1.0,0.0,SPOT,XNYS,2024-08-20
335.0,346.17,334.565,344.69,2043212.0,346.17,334.565,344.69,335.0,2043212.0,1.0,0.0,SPOT,XNYS,2024-08-19
335.21,338.91,332.82,337.38,1513287.0,338.91,332.82,337.38,335.21,1513287.0,1.0,0.0,SPOT,XNYS,2024-08-16
337.0,341.6371,333.91,335.59,2115595.0,341.6371,333.91,335.59,337.0,2115595.0,1.0,0.0,SPOT,XNYS,2024-08-15
335.99,338.51,332.37,334.35,1831135.0,338.51,332.37,334.35,335.99,1831135.0,1.0,0.0,SPOT,XNYS,2024-08-14
339.0,340.31,333.8,334.74,2081347.0,340.31,333.8,334.74,339.0,2081347.0,1.0,0.0,SPOT,XNYS,2024-08-13
